kb_id,source_id,domain,topic,title,intended_use,medical_scope,char_count,warning_flags,error_flags,suspected_noise_markers,duplicate_like_kb_ids,content_preview_500,reviewer_notes
"kb_v1_4_4a_031","medlineplus_cholesterol_levels_v1_4","medlineplus.gov","lipid_panel_cholesterol","Other names for a cholesterol test: Lipid profile, Lipid panel","screening_context","lipid / cholesterol / triglycerides","1441","","","","","Other names for a cholesterol test: Lipid profile, Lipid panel What is it used for? A cholesterol test gives you and your health care provider important information about your risk of developing heart disease. If your test shows you have high cholesterol, you can take steps to lower it . This may decrease your risk of developing heart problems in the future. A cholesterol test measures your: LDL level. LDL (""bad"") cholesterol is the main source of blockages in the arteries. HDL level. HDL (""good",""
"kb_v1_4_4a_032","medlineplus_cholesterol_levels_v1_4","medlineplus.gov","lipid_panel_cholesterol","Why do I need a cholesterol test?","screening_context","lipid / cholesterol / triglycerides","836","","","","","Why do I need a cholesterol test? Your provider may order a cholesterol test as part of a routine exam . When and how often you should get a cholesterol test depends on your age, risk factors, and family history. The general recommendations are: For people who are age 19 or younger: The first test should be between ages 9 to 11 Children should have the test again every 5 years Some children may have this test starting at age 2 if there is a family history of high cholesterol, heart attack, or st",""
"kb_v1_4_4a_033","medlineplus_cholesterol_levels_v1_4","medlineplus.gov","lipid_panel_cholesterol","Will I need to do anything to prepare for the test?","result_boundary","lipid / cholesterol / triglycerides","815","","","","","Will I need to do anything to prepare for the test? You may need to fast (not eat or drink) for 9 to 12 hours before your blood cholesterol test. That's why the tests are often done in the morning. Your provider will let you know if you need to fast and if there are any other special instructions. Are there any risks to the test? There is very little risk to having a blood test. You may experience slight pain or bruising at the spot where the needle was put in, but most symptoms go away quickly.",""
"kb_v1_4_4a_034","medlineplus_triglycerides_test_v1_4","medlineplus.gov","lipid_panel_triglycerides","What happens during a triglycerides test?","preparation_guidance","lipid / cholesterol / triglycerides","802","","","","","What happens during a triglycerides test? During the test, a health care professional will take a blood sample from a vein in your arm, using a small needle. After the needle is inserted, a small amount of blood will be collected into a test tube or vial. You may feel a little sting when the needle goes in or out. This usually takes less than five minutes. Will I need to do anything to prepare for the test? You may need to fast (not eat or drink) for 9 to 12 hours before your blood is drawn. You",""
"kb_v1_4_4a_035","medlineplus_liver_function_tests_v1_4","medlineplus.gov","liver_function_alt_ast_bilirubin","What are they used for?","result_boundary","liver function","845","","","","","What are they used for? Liver function tests are most often used to help: Find out if liver disease or damage could be causing certain symptoms Learn how serious liver disease is after it has been diagnosed Monitor liver disease over time and/or find out how well treatment is working Check for side effects of certain medicines that can affect the liver Why do I need liver function testing? Many liver function tests are included in a common blood test called a comprehensive metabolic panel (CMP) ",""
"kb_v1_4_4a_036","medlineplus_cmp_v1_4","medlineplus.gov","cmp_liver_kidney_glucose_context","Other names: chem 14, chemistry panel, chemistry screen, metabolic panel","result_boundary","glucose / HbA1c / diabetes screening","983","","","","","Other names: chem 14, chemistry panel, chemistry screen, metabolic panel What is it used for? A CMP is commonly used as part of a routine checkup . It can provide information about your overall health and help find certain conditions before you have symptoms. For example, a CMP can check your: Liver and kidney health Blood glucose Protein levels Fluid and electrolyte balance , which can affect the acid-base balance in your blood Metabolism A CMP may also be used to help: Diagnose the cause of ce",""
"kb_v1_4_4a_037","medlineplus_cmp_v1_4","medlineplus.gov","cmp_liver_kidney_glucose_context","What do the results mean?","result_boundary","glucose / HbA1c / diabetes screening","813","","","","","What do the results mean? The results of your CMP test will usually list the levels of each of the 14 substances that were measured. To understand what your results mean, your provider will compare all the results. Your provider will also consider your health history, any medicines you take, and other things that could affect your test results. Ask your provider to explain what your CMP results say about your health. In general, if you have one or more results that aren't normal, it may be a sig",""
"kb_v1_4_4a_038","medlineplus_cmp_v1_4","medlineplus.gov","cmp_liver_kidney_glucose_context","Is there anything else I need to know about a CMP?","screening_context","glucose / HbA1c / diabetes screening","376","","","","","Is there anything else I need to know about a CMP? Another test called a basic metabolic panel (BMP) is similar to a CMP. A BMP includes 8 of the 14 tests that are part of a CMP. A BMP does not include a measurement of: Total protein Albumin Bilirubin Liver enzymes (ALP, ALT, and AST) Your provider may choose a CMP or a BMP, depending on your health history and needs.",""
"kb_v1_4_4a_039","medlineplus_creatinine_test_v1_4","medlineplus.gov","kidney_function_creatinine_egfr","Creatinine Test","screening_context","kidney function / creatinine / eGFR","803","","","","","Creatinine Test What is a creatinine test? This test measures creatinine levels in a sample of your blood and/or urine (pee). Creatinine is a normal waste product in your body. It's made when you use your muscles and some of the muscle tissue breaks down. Normally, your kidneys filter creatinine from your blood and remove it from your body in your urine. If there is a problem with your kidneys, creatinine can build up in your blood and less may be released in urine. If blood and/or urine creatin",""
"kb_v1_4_4a_040","medlineplus_creatinine_test_v1_4","medlineplus.gov","kidney_function_creatinine_egfr","Why do I need a creatinine test?","screening_context","kidney function / creatinine / eGFR","856","","","","","Why do I need a creatinine test? Your provider may order a creatinine test: To check your kidney health as part of a routine checkup. If you have symptoms of kidney disease. Symptoms may include: Swelling in the hands and feet or puffy eyelids Dry skin, itching , or numbness Fatigue Increased or decreased need to urinate (pee) Urine that is bloody or foamy Loss of appetite and weight loss Muscle cramps Nausea and vomiting Shortness of breath Sleep problems Trouble thinking clearly If you have a ",""
"kb_v1_4_4a_041","medlineplus_creatinine_test_v1_4","medlineplus.gov","kidney_function_creatinine_egfr","Will I need to do anything to prepare for the test?","result_boundary","kidney function / creatinine / eGFR","822","","","","","Will I need to do anything to prepare for the test? Your provider will let you know how to prepare for your test. You may be told to not eat meat for 24 hours before your test. That's because meat can temporarily increase creatinine levels. If creatinine is being measured as part of a CMP or a BMP test, you may need to fast (not eat or drink) for up to 12 hours before your test. Certain medicines and supplements can affect your test results. So be sure to tell your provider everything you're tak",""
"kb_v1_4_4a_042","medlineplus_creatinine_test_v1_4","medlineplus.gov","kidney_function_creatinine_egfr","What do the results mean?","result_boundary","kidney function / creatinine / eGFR","1014","","","","","What do the results mean? Creatinine levels that are considered normal for you will depend on how much muscle you have, what you eat, your age, and how active you are. If you're healthy, your levels are usually fairly stable over time. But a normal creatinine test result doesn't always mean that your kidneys are healthy. Sometimes, blood creatinine levels remain in a normal range during the early stages of kidney disease. They rise as the condition of your kidneys becomes more serious. If your p",""
"kb_v1_4_4a_043","medlineplus_gfr_test_v1_4","medlineplus.gov","kidney_function_egfr","Glomerular Filtration Rate (GFR) Test","result_boundary","kidney function / creatinine / eGFR","1323","","","","","Glomerular Filtration Rate (GFR) Test What is a glomerular filtration rate (GFR) test? A glomerular filtration rate (GFR) test is a blood test that checks how well your kidneys are working. Your kidneys are two organs on either side of your spine near your waist. They have tiny filters called glomeruli. These filters remove waste and extra water from your blood and gets rid of them through urine (pee). If your kidneys have been damaged by kidney disease , they can't filter your blood as fast as ",""
"kb_v1_4_4a_044","medlineplus_gfr_test_v1_4","medlineplus.gov","kidney_function_egfr","Swelling in your legs, feet, ankles, or hands or face","result_boundary","kidney function / creatinine / eGFR","922","","","","","Swelling in your legs, feet, ankles, or hands or face Urinating (peeing) more often or less often than usual Dry skin and/or itching Fatigue Muscle cramps Nausea and vomiting Loss of appetite What happens during a GFR test? A health care professional will take a blood sample from a vein in your arm, using a small needle. After the needle is inserted, a small amount of blood will be collected into a test tube or vial. You may feel a little sting when the needle goes in or out. This usually takes ",""
"kb_v1_4_4a_045","medlineplus_gfr_test_v1_4","medlineplus.gov","kidney_function_egfr","Is there anything else I need to know about a GFR test?","result_boundary","kidney function / creatinine / eGFR","640","","","","","Is there anything else I need to know about a GFR test? Your provider may order other tests that check your kidney health . These tests may be ordered with an eGFR or to find the cause of an abnormal eGFR result. They include: A protein in urine test . Protein in urine is a sign of kidney damage. A microalbumin creatinine ratio test . This test checks for very small amounts of a protein called albumin in a sample of your urine. Albumin in urine may be one of the first signs of kidney disease. A ",""
"kb_v1_4_4a_046","medlineplus_microalbumin_creatinine_ratio_v1_4","medlineplus.gov","urine_albumin_kidney_monitoring","Microalbumin Creatinine Ratio","screening_context","kidney function / creatinine / eGFR","1209","","","","","Microalbumin Creatinine Ratio What is a microalbumin creatinine ratio test? A microalbumin creatinine ratio urine test checks the levels of the protein albumin in your urine (pee). Abnormal amounts of this protein may be an early sign of kidney disease . Your kidneys are two organs on either side of your spine near your waist. Filters in your kidneys remove waste and extra water from your blood and gets rid of them through urine. Albumin, however, is not a waste product. It is a common protein f",""
"kb_v1_4_4a_047","medlineplus_microalbumin_creatinine_ratio_v1_4","medlineplus.gov","urine_albumin_kidney_monitoring","Other names: albumin-creatinine ratio; urine albumin; microalbumin, urine; ACR; UACR","result_boundary","kidney function / creatinine / eGFR","1387","","","","","Other names: albumin-creatinine ratio; urine albumin; microalbumin, urine; ACR; UACR What is it used for? A microalbumin creatinine ratio test is most often used to look for signs of kidney disease in people who have a high risk of developing it but don't have symptoms. You're more likely to develop kidney disease if you: Have diabetes Have high blood pressure Have a family health history of kidney disease, diabetes, or high blood pressure Have heart disease Are over 50 years old Smoke Have obes",""
"kb_v1_4_4a_048","niddk_albuminuria_v1_4","niddk.nih.gov","urine_albumin_ckd_screening_context","Home","result_boundary","urinalysis / urine albumin","953","","","","","Home Health Information Kidney Disease Chronic Kidney Disease (CKD) Tests & Diagnosis Albuminuria: Albumin in the Urine English Español Albuminuria: Albumin in the Urine On this page: What is albuminuria? Why is urine albumin important? How is albuminuria detected? How can albuminuria be reduced? Clinical Trials What is albuminuria? Albuminuria is a sign of kidney disease and means that you have too much albumin in your urine. Albumin is a protein found in the blood. A healthy kidney doesn’t let",""
"kb_v1_4_4a_049","niddk_albuminuria_v1_4","niddk.nih.gov","urine_albumin_ckd_screening_context","Why is urine albumin important?","result_boundary","urinalysis / urine albumin","1996","","","","","Why is urine albumin important? Measurement of urine albumin is an important tool for diagnosing kidney disease monitoring the progression of kidney disease Health care providers regularly test people for albuminuria as part of a routine medical exam and will closely monitor urine albumin in people with kidney disease. A urine albumin level that stays the same or goes down may mean that treatments are working. Treatment that lowers the urine albumin level may lower the chances that kidney diseas",""
"kb_v1_4_4a_050","medlineplus_tsh_test_v1_4","medlineplus.gov","tsh_thyroid_screening","Other names: thyrotropin test, thyrotropic hormone","screening_context","thyroid testing","1037","","","","","Other names: thyrotropin test, thyrotropic hormone What is it used for? A TSH test is used to find out how well your thyroid is working. It can tell if you have hyperthyroidism (too much thyroid hormone) or hypothyroidism (too little thyroid hormone) in your blood. But a TSH test can't show what is causing a thyroid problem. If you take prescription thyroid hormone medicine because of hypothyroidism or because you had your thyroid removed, you'll have regular TSH tests to check your thyroid horm",""
"kb_v1_4_4a_051","medlineplus_tsh_test_v1_4","medlineplus.gov","tsh_thyroid_screening","Will I need to do anything to prepare for the test?","result_boundary","thyroid testing","1015","","","","","Will I need to do anything to prepare for the test? You may need to stop taking certain medicines before this test, so tell your provider about everything you take. But don't stop taking any medicines unless your provider tells you to. If your health care provider has ordered other blood tests, you may need to fast (not eat or drink) for several hours before the test. Your provider will let you know if there are any special instructions. Are there any risks to the test? There is very little risk",""
"kb_v1_4_4a_052","medlineplus_t4_test_v1_4","medlineplus.gov","t4_thyroid_testing","What is it used for?","result_boundary","thyroid testing","1349","","","","","What is it used for? A T4 test is usually used with other thyroid tests to help diagnose and monitor thyroid disease and to gather more information about other conditions that may affect your thyroid. It may be used to: Diagnose: Hypothyroidism , or underactive thyroid, which is when your thyroid gland doesn't make enough thyroid hormone to meet your body's needs. Hyperthyroidism , or overactive thyroid, which is when your thyroid gland makes more thyroid hormone than your body needs. Help learn",""
"kb_v1_4_4a_053","medlineplus_t4_test_v1_4","medlineplus.gov","t4_thyroid_testing","Are there any risks to the test?","result_boundary","thyroid testing","862","","","","","Are there any risks to the test? There is very little risk to having a blood test. You may have slight pain or bruising at the spot where the needle was put in, but most symptoms go away quickly. What do the results mean? If you had a free T4 test, your test results may be reported as ""free T4."" If you had a total T4 test, your results may be reported as ""free T4 index (FTI)."" FTI is the amount of free T4 in your blood based on a calculation using your total T4 test results. To fully understand ",""
"kb_v1_4_4a_054","medlineplus_t4_test_v1_4","medlineplus.gov","t4_thyroid_testing","A noncancerous (not cancer) tumor in your pituitary gland","result_boundary","thyroid testing","928","","","","","A noncancerous (not cancer) tumor in your pituitary gland Taking too much thyroid hormone medicine to treat hypothyroidism A pituitary problem (uncommon) If your T4 results are abnormal, you may need more testing to find the cause. But abnormal T4 levels don't always mean you have a medical condition that needs treatment. Many things can affect your T4 levels, including severe illness and certain medicines, such as birth control pills and steroids . Learn more about laboratory tests, reference r",""
"kb_v1_4_4a_055","niddk_thyroid_tests_v1_4","niddk.nih.gov","thyroid_tests_tsh_t4_t3","T 4 tests","screening_context","thyroid testing","829","","","","","T 4 tests A high blood level of T 4 may mean you have hyperthyroidism. A low level of T 4 may mean you have hypothyroidism. In some cases, high or low T 4 levels may not mean you have thyroid problems. If you are pregnant or are taking oral contraceptives , your thyroid hormone levels will be higher. Severe illness or using corticosteroids —medicines to treat asthma, arthritis, skin conditions, and other health problems—can lower T 4 levels. These conditions and medicines change the amount of pr",""
