source_id,topic,domain,title,url,final_url,char_count,word_count,heading_count,extraction_status,review_status,runtime_promoted,used_body_fallback,main_content_candidate_count,text_preview_start,text_preview_mid,text_preview_end,suspected_noise_markers,suspected_navigation_or_footer_noise,suspected_too_short,suspected_too_broad,suspected_duplicate_like_title,qa_status,reviewer_note
"medlineplus_hba1c_test_v1_4","hba1c_diabetes_monitoring_screening","medlineplus.gov","Hemoglobin A1C (HbA1c) Test","https://medlineplus.gov/lab-tests/hemoglobin-a1c-hba1c-test","https://medlineplus.gov/lab-tests/hemoglobin-a1c-hba1c-test/","10572","1666","10","ok","needs_human_review","false","false","6","Hemoglobin A1C (HbA1c) Test What is a hemoglobin A1C (HbA1C) test? A hemoglobin A1C (HbA1C) test is a blood test that shows your average level of blood glucose , also called blood sugar, over the past two to three months. Glucose is a type of sugar in your blood that comes from the foods you eat. Your cells use glucose for energy. A hormone called insulin he","factors. Ask your provider what A1C percentage is healthy for you. To diagnose diabetes or prediabetes, the percentages commonly used are: Normal: A1C below 5.7% Prediabetes: A1C between 5.7% and 6.4% Diabetes: A1C of 6.5% or higher Providers often use more than one test to diagnose diabetes. So, if your test result was higher than normal, you may have anoth","nternet]. Seattle (WA).: OneCare Media; c2025. Glucose Testing; [modified 2021 Nov 9; cited 2025 Apr. 10]; [about 11 screens]. Available from: https://www.testing.com/glucose-testing/ The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"niddk_diabetes_tests_diagnosis_v1_4","glucose_hba1c_diabetes_screening","niddk.nih.gov","Diabetes Tests & Diagnosis","https://www.niddk.nih.gov/health-information/diabetes/overview/tests-diagnosis","https://www.niddk.nih.gov/health-information/diabetes/overview/tests-diagnosis","9865","1694","18","ok","needs_human_review","false","false","3","Home Health Information Diabetes Diabetes Overview Diabetes Tests & Diagnosis English Español Diabetes Tests & Diagnosis In this section: Who should be tested for diabetes? What tests are used to diagnose diabetes? What test results tell me if I have diabetes or prediabetes? Which tests help my doctor know what kind of diabetes I have? Your doctor can diagno","n eat and drink before this test. Before using the A1C test to diagnose diabetes, your doctor will consider factors, such as whether you are in your second or third trimester of pregnancy or whether you have certain types of anemia or another problem with your blood. 1 The A1C test might not be accurate in those cases. Certain types of hemoglobin , called he","ional Institutes of Health. NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by NIDDK is carefully reviewed by NIDDK scientists and other experts. The NIDDK would like to thank: Randy Little, Ph.D., University of Missouri","share; facebook","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_cholesterol_levels_v1_4","lipid_panel_cholesterol","medlineplus.gov","Cholesterol Levels","https://medlineplus.gov/lab-tests/cholesterol-levels/","https://medlineplus.gov/lab-tests/cholesterol-levels/","14515","2245","10","ok","needs_human_review","false","false","8","Cholesterol Levels What is a cholesterol test? A cholesterol test is a blood test that measures the amount of cholesterol and triglycerides (a type of fat) in your blood. Cholesterol is a waxy, fat-like substance that's found in your blood and every cell of your body. Your body needs some cholesterol to make hormones , vitamin D , and substances that help yo","lesterol and risk for heart disease. Stay active . Regular physical activity may help lower your LDL (bad) cholesterol levels and raise your HDL (good) cholesterol levels. It may also help you lose weight. Quit smoking . Smoking lowers your HDL (good) cholesterol, especially in women. Smoking also raises your LDL (bad) cholesterol. Reduce stress . Stress may","esterol; [reviewed 2024 Apr; cited 2024 Jul 11]; [about 3 screens]. Available from: https://testdirectory.questdiagnostics.com/test/test-guides/TS_LDL_Cholesterol/ldl-cholesterol?p=td The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_triglycerides_test_v1_4","lipid_panel_triglycerides","medlineplus.gov","Triglycerides Test","https://medlineplus.gov/lab-tests/triglycerides-test/","https://medlineplus.gov/lab-tests/triglycerides-test/","11123","1733","10","ok","needs_human_review","false","false","6","Triglycerides Test What is a triglycerides test? A triglycerides test is a blood test that measures the amount of a fat in your blood called triglycerides. High blood triglyceride levels may increase your risk for heart disease and stroke . A triglycerides test can help you decide if you need to take action to lower your risk. Some triglycerides are importan","ur child's provider to explain what your child's test results mean. Triglyceride levels that are higher than normal may mean you have a higher risk of heart disease, stroke, and other conditions that affect your arteries. Having high blood triglycerides also increases your risk of metabolic syndrome . Very high triglyceride levels increase your risk of sudde","ternet]. Seattle (WA): OneCare Media; c2024. Triglycerides; [modified 2022 Sep 28; cited 2024 Nov 15]; [about 11 screens]. Available from: https://www.testing.com/tests/triglycerides/ The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_liver_function_tests_v1_4","liver_function_alt_ast_bilirubin","medlineplus.gov","Liver Function Tests","https://medlineplus.gov/liverfunctiontests.html","https://medlineplus.gov/lab-tests/liver-function-tests/","8718","1372","9","ok","needs_human_review","false","false","5","Liver Function Tests What are liver function tests? Liver function tests (also called a liver panel) use a sample of your blood to measure several substances made by your liver. The most common liver function tests measure: Albumin , a protein made in the liver. Total protein . This test measures the total amount of protein in your blood, which includes albu","your provider will compare the results of all the substances that were measured. This is done to look for certain patterns of normal and abnormal results that suggest different types of liver conditions. In general, the results of your liver function tests can tell you if: Your liver is inflamed, which means you have hepatitis. You have hepatitis from drinki","23. Health Information: Liver Function Tests; [updated 2022 Sep 8; cited 2023 Jun 1]; [about 3 screens]. Available from: https://patient.uwhealth.org/healthwise/article/en-us/hw144350 The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_cmp_v1_4","cmp_liver_kidney_glucose_context","medlineplus.gov","Comprehensive Metabolic Panel (CMP)","https://medlineplus.gov/lab-tests/comprehensive-metabolic-panel-cmp/","https://medlineplus.gov/lab-tests/comprehensive-metabolic-panel-cmp/","8110","1256","10","ok","needs_human_review","false","false","6","Comprehensive Metabolic Panel (CMP) What is a comprehensive metabolic panel (CMP)? A comprehensive metabolic panel (CMP) is a routine blood test that measures 14 different substances in a sample of your blood. It provides important information about your metabolism (how your body uses food and energy) and the balance of certain chemicals in your body. A CMP ","ld affect your test results. Ask your provider to explain what your CMP results say about your health. In general, if you have one or more results that aren't normal, it may be a sign of a health condition. For example, high blood glucose may be a sign of diabetes . You will likely need more tests to confirm or rule out a specific diagnosis. If you have ques","023. Health Information: Total Serum Protein; [updated 2022 Sep 8; cited 2023 May 22]; [about 4 screens]. Available from: https://patient.uwhealth.org/healthwise/article/en-us/hw43614 The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_creatinine_test_v1_4","kidney_function_creatinine_egfr","medlineplus.gov","Creatinine Test","https://medlineplus.gov/lab-tests/creatinine-test","https://medlineplus.gov/lab-tests/creatinine-test/","14024","2197","9","ok","needs_human_review","false","false","8","Creatinine Test What is a creatinine test? This test measures creatinine levels in a sample of your blood and/or urine (pee). Creatinine is a normal waste product in your body. It's made when you use your muscles and some of the muscle tissue breaks down. Normally, your kidneys filter creatinine from your blood and remove it from your body in your urine. If ","eys are healthy. Sometimes, blood creatinine levels remain in a normal range during the early stages of kidney disease. They rise as the condition of your kidneys becomes more serious. If your provider suspects you have a kidney condition, you will likely have other kidney tests even if your creatinine results seem normal. If your results are abnormal, a sin","formation: Creatinine and Creatinine Clearance; [updated 2022 Sep 8; cited 2023 Jun 8]; [about 5 screens]. Available from: https://patient.uwhealth.org/healthwise/article/en-us/hw4322 The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_gfr_test_v1_4","kidney_function_egfr","medlineplus.gov","Glomerular Filtration Rate (GFR) Test","https://medlineplus.gov/lab-tests/glomerular-filtration-rate-gfr-test/","https://medlineplus.gov/lab-tests/glomerular-filtration-rate-gfr-test/","10024","1559","10","ok","needs_human_review","false","false","6","Glomerular Filtration Rate (GFR) Test What is a glomerular filtration rate (GFR) test? A glomerular filtration rate (GFR) test is a blood test that checks how well your kidneys are working. Your kidneys are two organs on either side of your spine near your waist. They have tiny filters called glomeruli. These filters remove waste and extra water from your bl","provider will explain what you can do to protect your kidneys from more damage and help prevent kidney failure. Learn more about laboratory tests, reference ranges, and understanding results . Is there anything else I need to know about a GFR test? Your provider may order other tests that check your kidney health . These tests may be ordered with an eGFR or ","Information: Glomerular Filtration Rate (GFR);[updated 2022 May 4; cited 2023 Feb 6]; [about 2 screens]. Available from: https://patient.uwhealth.org/healthwise/article/en-us/aa154102 The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_kidney_tests_v1_4","kidney_function_creatinine_egfr_urine_albumin","medlineplus.gov","Kidney Tests","https://medlineplus.gov/kidneytests.html","https://medlineplus.gov/kidneytests.html","4878","701","13","ok","needs_human_review","false","false","1","Kidney Tests Also called: Kidney Function Panel, Kidney Function Tests, Kidney Panel, Renal Function Panel On this page Basics Summary Start Here Learn More Specifics See, Play and Learn No links available Research Clinical Trials Journal Articles Resources No links available For You Patient Handouts Summary You have two kidneys. They are fist-sized organs o"," Also in Spanish Basic Metabolic Panel (BMP) (National Library of Medicine) Also in Spanish BUN (Blood Urea Nitrogen) (National Library of Medicine) Also in Spanish Calcium Blood Test (National Library of Medicine) Also in Spanish Calcium in Urine Test (National Library of Medicine) Also in Spanish Chloride Blood Test (National Library of Medicine) Also in S","nish BUN - blood test (Medical Encyclopedia) Also in Spanish Glomerular filtration rate (Medical Encyclopedia) Also in Spanish Kidney biopsy (Medical Encyclopedia) Also in Spanish Microalbuminuria test (Medical Encyclopedia) Also in Spanish Total protein (Medical Encyclopedia) Also in Spanish Urine protein dipstick test (Medical Encyclopedia) Also in Spanish","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_urinalysis_v1_4","urinalysis_urine_protein_glucose_uti_kidney_context","medlineplus.gov","Urinalysis","https://medlineplus.gov/urinalysis.html","https://medlineplus.gov/urinalysis.html","3655","515","18","ok","needs_human_review","false","false","1","Urinalysis Also called: UA, Urine Analysis, Urine Test On this page Basics Summary Start Here Diagnosis and Tests Learn More Specifics See, Play and Learn Videos and Tutorials Research Clinical Trials Journal Articles Resources Find an Expert For You Children Teenagers Patient Handouts Summary A urinalysis is a test of your urine . It is often done to check ","ch) Also in Spanish Nitrites in Urine (National Library of Medicine) Also in Spanish Protein in Urine (National Library of Medicine) Also in Spanish Urine Color (Mayo Foundation for Medical Education and Research) Also in Spanish Urine Odor (Mayo Foundation for Medical Education and Research) Urobilinogen in Urine (National Library of Medicine) Also in Spani","ia) Also in Spanish RBC urine test (Medical Encyclopedia) Also in Spanish Urinalysis (Medical Encyclopedia) Also in Spanish Urine odor (Medical Encyclopedia) Also in Spanish Urine pH test (Medical Encyclopedia) Also in Spanish Urine protein dipstick test (Medical Encyclopedia) Also in Spanish Urine specific gravity test (Medical Encyclopedia) Also in Spanish","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_microalbumin_creatinine_ratio_v1_4","urine_albumin_kidney_monitoring","medlineplus.gov","Microalbumin Creatinine Ratio","https://medlineplus.gov/lab-tests/microalbumin-creatinine-ratio/","https://medlineplus.gov/lab-tests/microalbumin-creatinine-ratio/","12823","2007","10","ok","needs_human_review","false","false","7","Microalbumin Creatinine Ratio What is a microalbumin creatinine ratio test? A microalbumin creatinine ratio urine test checks the levels of the protein albumin in your urine (pee). Abnormal amounts of this protein may be an early sign of kidney disease . Your kidneys are two organs on either side of your spine near your waist. Filters in your kidneys remove ","ikely need more tests to confirm your results. That's because temporary increases in albumin levels may be caused by exercise, certain medicines, fever, and inflammation in the body. Usually, you will have two more tests during the three to six months after your first test. If two out of three tests show abnormal levels of albumin in your urine, you may have","d Albumin to Creatinine Ratio; [modified 2022 Nov 29; cited 2025 May 08]; [about 19 screens]. Available from: https://www.testing.com/tests/urine-albumin-and-albumin-creatinine-ratio/ The information on this site should not be used as a substitute for professional medical care or advice. Contact a health care provider if you have questions about your health.","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"niddk_albuminuria_v1_4","urine_albumin_ckd_screening_context","niddk.nih.gov","Albuminuria: Albumin in the Urine","https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/tests-diagnosis/albuminuria-albumin-urine","https://www.niddk.nih.gov/health-information/kidney-disease/chronic-kidney-disease-ckd/tests-diagnosis/albuminuria-albumin-urine","4856","795","8","ok","needs_human_review","false","false","3","Home Health Information Kidney Disease Chronic Kidney Disease (CKD) Tests & Diagnosis Albuminuria: Albumin in the Urine English Español Albuminuria: Albumin in the Urine On this page: What is albuminuria? Why is urine albumin important? How is albuminuria detected? How can albuminuria be reduced? Clinical Trials What is albuminuria? Albuminuria is a sign of ","hnician places a dipstick, a strip of chemically treated paper, into the urine. The dipstick changes color if albumin is present in the urine. Albumin and creatinine measurement. A health care provider uses this measurement to determine the ratio between the albumin and creatinine in the urine and to estimate the amount of albumin excreted in 24 hours. Creat","tute of Diabetes and Digestive and Kidney Diseases (NIDDK), part of the National Institutes of Health. NIDDK translates and disseminates research findings to increase knowledge and understanding about health and disease among patients, health professionals, and the public. Content produced by NIDDK is carefully reviewed by NIDDK scientists and other experts.","share; facebook","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
"medlineplus_thyroid_tests_v1_4","thyroid_tests_tsh_t4","medlineplus.gov","Thyroid Tests","https://medlineplus.gov/thyroidtests.html","https://medlineplus.gov/thyroidtests.html","3605","502","6","ok","needs_human_review","false","false","1","Thyroid Tests Summary Your thyroid is a small, butterfly-shaped gland in the front of your neck. It makes hormones that control the way the body uses energy. These hormones affect nearly every organ in your body and control many of your body's most important functions. For example, they affect your breathing, heart rate, weight, digestion, and moods. Thyroid","Antibodies (National Library of Medicine) Also in Spanish Thyroid Function Tests (American Thyroid Association) Also in Spanish Thyroid Scan and Uptake (American College of Radiology; Radiological Society of North America) Also in Spanish Thyroid Tests (National Institute of Diabetes and Digestive and Kidney Diseases) Also in Spanish Thyroid Tests (For Paren","cal Encyclopedia) Also in Spanish TBG blood test (Medical Encyclopedia) Also in Spanish Thyroid peroxidase antibody (Medical Encyclopedia) Also in Spanish Thyroid scan (Medical Encyclopedia) Also in Spanish Thyroid ultrasound (Medical Encyclopedia) Also in Spanish TSH test (Medical Encyclopedia) Also in Spanish TSI test (Medical Encyclopedia) Also in Spanish","references","true","false","false","true","needs_manual_review","Review suspected navigation/footer/reference/social/cookie noise. Title-like repetition detected; check duplicate header/title text."
